Age groups,Total deliveries,Unknown ,Total excl. unknown,Live birth,Still birth,
Total,"542,235",15.7%,"456,857",99.6%,0.4%,
14 and under,92,27.2%,67,98.5%,1.5%,
15-19,"11,640",15.3%,"9,860",99.5%,0.5%,
20-24,"59,817",15.2%,"50,745",99.6%,0.4%,
25-29,"134,348",15.2%,"113,860",99.7%,0.3%,
30-34,"180,759",15.5%,"152,814",99.7%,0.3%,
35-39,"105,540",15.6%,"89,062",99.6%,0.4%,
40-44,"22,549",16.2%,"18,894",99.5%,0.5%,
45-49,"1,382",14.8%,"1,177",99.7%,0.3%,
50 and over,137,17.5%,113,100.0%,0.0%,
Unknown,"25,971",22.0%,"20,265",99.7%,0.3%,
