Age groups,Total deliveries,Unknown,Total excl. unknown,Same Day,1 Day,2 Days,3 Days,4 Days,5 Days,6 Days,7 Plus Days
Total,"542,235",19.7%,"435,571",13.8%,46.0%,20.3%,9.0%,4.1%,2.9%,1.5%,2.4%
14 and under,92,26.1%,68,13.2%,32.4%,17.6%,8.8%,10.3%,10.3%,2.9%,4.4%
15-19,"11,640",15.7%,"9,807",15.6%,44.6%,18.2%,9.5%,4.5%,3.0%,1.7%,2.8%
20-24,"59,817",15.5%,"50,561",15.6%,45.3%,19.3%,9.1%,4.1%,2.9%,1.4%,2.4%
25-29,"134,348",15.4%,"113,604",14.5%,45.6%,20.1%,9.0%,4.1%,3.0%,1.5%,2.2%
30-34,"180,759",15.8%,"152,206",13.8%,46.8%,20.3%,8.7%,4.0%,2.8%,1.4%,2.2%
35-39,"105,540",16.0%,"88,601",12.6%,46.2%,20.9%,9.2%,4.1%,2.8%,1.5%,2.6%
40-44,"22,549",16.6%,"18,810",10.1%,43.3%,22.9%,9.9%,5.1%,3.2%,2.0%,3.5%
45-49,"1,382",15.0%,"1,175",6.0%,37.1%,24.3%,12.7%,6.6%,5.4%,3.0%,4.9%
50 and over,137,17.5%,113,3.5%,34.5%,15.9%,12.4%,8.0%,5.3%,4.4%,15.9%
Unknown,"25,971",97.6%,626,11.3%,45.5%,20.6%,10.4%,5.8%,2.6%,1.8%,2.1%
